source_file,source_url,type,status,status_code,href,resolved_url
districts\burleson-isd\leadership-directory.html,https://www.texasspecialed.com/districts/burleson-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/burleson-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\carrollton-farmers-branch-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\carrollton-farmers-branch-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\carrollton-farmers-branch-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\carrollton-farmers-branch-isd\leadership-directory.html,https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/carrollton-farmers-branch-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\channelview-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/channelview-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/channelview-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\channelview-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/channelview-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/channelview-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\channelview-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/channelview-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/channelview-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\channelview-isd\leadership-directory.html,https://www.texasspecialed.com/districts/channelview-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/channelview-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\clear-creek-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/clear-creek-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/clear-creek-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\clear-creek-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/clear-creek-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/clear-creek-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\clear-creek-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/clear-creek-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/clear-creek-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\clear-creek-isd\leadership-directory.html,https://www.texasspecialed.com/districts/clear-creek-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/clear-creek-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\clint-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/clint-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/clint-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\clint-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/clint-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/clint-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\clint-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/clint-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/clint-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\clint-isd\leadership-directory.html,https://www.texasspecialed.com/districts/clint-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/clint-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\college-station-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/college-station-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/college-station-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\college-station-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/college-station-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/college-station-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\college-station-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/college-station-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/college-station-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
